anime_id,name,genre,type,episodes,text
20159,Pokemon: The Origin,"Action, Adventure, Comedy, Fantasy, Kids",Special,4,"Pokemon: The Origin [TYPE] Special [GENRE] Action, Adventure, Comedy, Fantasy, Kids [EP] 4"
63,DearS,"Comedy, Ecchi, Harem, Romance, Sci-Fi",TV,12,"DearS [TYPE] TV [GENRE] Comedy, Ecchi, Harem, Romance, Sci-Fi [EP] 12"
1852,Hidamari Sketch,"Comedy, School, Slice of Life",TV,12,"Hidamari Sketch [TYPE] TV [GENRE] Comedy, School, Slice of Life [EP] 12"
1829,Gedo Senki,"Adventure, Fantasy, Magic",Movie,1,"Gedo Senki [TYPE] Movie [GENRE] Adventure, Fantasy, Magic [EP] 1"
10092,Break Blade 6: Doukoku no Toride,"Action, Mecha, Military, Shounen",Movie,1,"Break Blade 6: Doukoku no Toride [TYPE] Movie [GENRE] Action, Mecha, Military, Shounen [EP] 1"
4107,Tengen Toppa Gurren Lagann Movie: Gurren-hen,"Action, Comedy, Mecha",Movie,1,"Tengen Toppa Gurren Lagann Movie: Gurren-hen [TYPE] Movie [GENRE] Action, Comedy, Mecha [EP] 1"
528,Pokemon: Mewtwo no Gyakushuu,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,"Pokemon: Mewtwo no Gyakushuu [TYPE] Movie [GENRE] Action, Adventure, Comedy, Drama, Fantasy, Kids [EP] 1"
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,"Kuroko no Basket 3rd Season [TYPE] TV [GENRE] Comedy, School, Shounen, Sports [EP] 25"
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,"Comedy, Ecchi, Game, Romance, School",TV,12,"Netoge no Yome wa Onnanoko ja Nai to Omotta? [TYPE] TV [GENRE] Comedy, Ecchi, Game, Romance, School [EP] 12"
11499,Sankarea,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",TV,12,"Sankarea [TYPE] TV [GENRE] Comedy, Ecchi, Horror, Romance, Shounen, Supernatural [EP] 12"
1303,The Animatrix,"Action, Drama, Sci-Fi",OVA,9,"The Animatrix [TYPE] OVA [GENRE] Action, Drama, Sci-Fi [EP] 9"
4872,Goku Sayonara Zetsubou Sensei,"Comedy, Parody, School",OVA,3,"Goku Sayonara Zetsubou Sensei [TYPE] OVA [GENRE] Comedy, Parody, School [EP] 3"
864,Mobile Suit Gundam Seed MSV Astray,"Mecha, Military, Sci-Fi, Shounen, Space",OVA,2,"Mobile Suit Gundam Seed MSV Astray [TYPE] OVA [GENRE] Mecha, Military, Sci-Fi, Shounen, Space [EP] 2"
12549,"Dakara Boku wa, H ga Dekinai.","Comedy, Ecchi, Romance, Supernatural",TV,12,"Dakara Boku wa, H ga Dekinai. [TYPE] TV [GENRE] Comedy, Ecchi, Romance, Supernatural [EP] 12"
30205,Aoharu x Kikanjuu,"Action, Comedy, Shounen, Sports",TV,12,"Aoharu x Kikanjuu [TYPE] TV [GENRE] Action, Comedy, Shounen, Sports [EP] 12"
3901,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,"Baccano! Specials [TYPE] Special [GENRE] Action, Comedy, Historical, Mystery, Seinen, Supernatural [EP] 3"
8795,Panty &amp; Stocking with Garterbelt,"Action, Comedy, Ecchi, Parody, Supernatural",TV,13,"Panty &amp; Stocking with Garterbelt [TYPE] TV [GENRE] Action, Comedy, Ecchi, Parody, Supernatural [EP] 13"
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,"Howl no Ugoku Shiro [TYPE] Movie [GENRE] Adventure, Drama, Fantasy, Romance [EP] 1"
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,"Nodame Cantabile Finale [TYPE] TV [GENRE] Comedy, Josei, Music, Romance [EP] 11"
2986,Bamboo Blade,"Comedy, School, Seinen, Sports",TV,26,"Bamboo Blade [TYPE] TV [GENRE] Comedy, School, Seinen, Sports [EP] 26"
16868,Sukitte Ii na yo.: Dareka ga,"Romance, School, Shoujo",OVA,1,"Sukitte Ii na yo.: Dareka ga [TYPE] OVA [GENRE] Romance, School, Shoujo [EP] 1"
1361,Final Fantasy: The Spirits Within,Sci-Fi,Movie,1,Final Fantasy: The Spirits Within [TYPE] Movie [GENRE] Sci-Fi [EP] 1
15809,Hataraku Maou-sama!,"Comedy, Demons, Fantasy, Romance, Shounen",TV,13,"Hataraku Maou-sama! [TYPE] TV [GENRE] Comedy, Demons, Fantasy, Romance, Shounen [EP] 13"
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,"Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,"Mobile Suit Gundam Wing: Endless Waltz Movie [TYPE] Movie [GENRE] Action, Drama, Mecha, Military, Sci-Fi, Space [EP] 1"
10717,Towa no Quon 6: Towa no Quon,"Action, Super Power, Supernatural",Movie,1,"Towa no Quon 6: Towa no Quon [TYPE] Movie [GENRE] Action, Super Power, Supernatural [EP] 1"
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,"Clannad [TYPE] TV [GENRE] Comedy, Drama, Romance, School, Slice of Life, Supernatural [EP] 23"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,"Fate/stay night: Unlimited Blade Works [TYPE] TV [GENRE] Action, Fantasy, Magic, Shounen, Supernatural [EP] 12"
208,R.O.D OVA,"Action, Adventure, Historical, Magic, Mystery, Sci-Fi",OVA,3,"R.O.D OVA [TYPE] OVA [GENRE] Action, Adventure, Historical, Magic, Mystery, Sci-Fi [EP] 3"
31741,Magi: Sinbad no Bouken (TV),"Action, Adventure, Fantasy, Magic, Shounen",TV,13,"Magi: Sinbad no Bouken (TV) [TYPE] TV [GENRE] Action, Adventure, Fantasy, Magic, Shounen [EP] 13"
7337,"Hetalia Axis Powers Movie: Paint it, White","Comedy, Historical, Parody",Movie,1,"Hetalia Axis Powers Movie: Paint it, White [TYPE] Movie [GENRE] Comedy, Historical, Parody [EP] 1"
9982,Fairy Tail OVA,"Comedy, Ecchi, Fantasy, Magic, Shounen",OVA,5,"Fairy Tail OVA [TYPE] OVA [GENRE] Comedy, Ecchi, Fantasy, Magic, Shounen [EP] 5"
760,Tenjou Tenge: The Past Chapter,"Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural",Movie,1,"Tenjou Tenge: The Past Chapter [TYPE] Movie [GENRE] Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural [EP] 1"
845,Kiba,"Adventure, Fantasy, Shounen",TV,51,"Kiba [TYPE] TV [GENRE] Adventure, Fantasy, Shounen [EP] 51"
849,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,"Suzumiya Haruhi no Yuuutsu [TYPE] TV [GENRE] Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life [EP] 14"
5220,Shangri-La,"Action, Drama, Sci-Fi",TV,24,"Shangri-La [TYPE] TV [GENRE] Action, Drama, Sci-Fi [EP] 24"
678,Shadow Skill: Eigi,"Adventure, Drama, Fantasy, Magic, Martial Arts, Shounen, Super Power",TV,26,"Shadow Skill: Eigi [TYPE] TV [GENRE] Adventure, Drama, Fantasy, Magic, Martial Arts, Shounen, Super Power [EP] 26"
18897,Nisekoi,"Comedy, Harem, Romance, School, Shounen",TV,20,"Nisekoi [TYPE] TV [GENRE] Comedy, Harem, Romance, School, Shounen [EP] 20"
32093,Tanaka-kun wa Itsumo Kedaruge,"Comedy, School, Slice of Life",TV,12,"Tanaka-kun wa Itsumo Kedaruge [TYPE] TV [GENRE] Comedy, School, Slice of Life [EP] 12"
50,Aa! Megami-sama! (TV),"Comedy, Magic, Romance, Seinen, Supernatural",TV,24,"Aa! Megami-sama! (TV) [TYPE] TV [GENRE] Comedy, Magic, Romance, Seinen, Supernatural [EP] 24"
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,"NHK ni Youkoso! [TYPE] TV [GENRE] Comedy, Drama, Psychological, Romance [EP] 24"
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,"One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna [TYPE] Special [GENRE] Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power [EP] 1"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou [TYPE] TV [GENRE] Comedy, Drama, School, Shounen, Sports [EP] 10"
189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,24,"Love Hina [TYPE] TV [GENRE] Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life [EP] 24"
14811,GJ-bu,"Comedy, School, Slice of Life",TV,12,"GJ-bu [TYPE] TV [GENRE] Comedy, School, Slice of Life [EP] 12"
13599,Robotics;Notes,"Drama, Mystery, School, Sci-Fi",TV,22,"Robotics;Notes [TYPE] TV [GENRE] Drama, Mystery, School, Sci-Fi [EP] 22"
1556,Kikoushi Enma,"Demons, Ecchi, Fantasy, Horror, Magic, Seinen, Supernatural",OVA,4,"Kikoushi Enma [TYPE] OVA [GENRE] Demons, Ecchi, Fantasy, Horror, Magic, Seinen, Supernatural [EP] 4"
150,Blood+,"Action, Drama, Horror, Military, Mystery, Supernatural, Vampire",TV,50,"Blood+ [TYPE] TV [GENRE] Action, Drama, Horror, Military, Mystery, Supernatural, Vampire [EP] 50"
28497,Rokka no Yuusha,"Action, Adventure, Fantasy, Magic, Mystery",TV,12,"Rokka no Yuusha [TYPE] TV [GENRE] Action, Adventure, Fantasy, Magic, Mystery [EP] 12"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,"Kuroko no Basket [TYPE] TV [GENRE] Comedy, School, Shounen, Sports [EP] 25"
23383,D-Frag! OVA,"Comedy, Game, Seinen",OVA,1,"D-Frag! OVA [TYPE] OVA [GENRE] Comedy, Game, Seinen [EP] 1"
4725,Ga-Rei: Zero,"Action, Super Power, Supernatural, Thriller",TV,12,"Ga-Rei: Zero [TYPE] TV [GENRE] Action, Super Power, Supernatural, Thriller [EP] 12"
10216,"Yondemasu yo, Azazel-san. (TV)","Comedy, Demons, Supernatural",TV,13,"Yondemasu yo, Azazel-san. (TV) [TYPE] TV [GENRE] Comedy, Demons, Supernatural [EP] 13"
21561,Ryuugajou Nanana no Maizoukin (TV),"Comedy, Supernatural",TV,11,"Ryuugajou Nanana no Maizoukin (TV) [TYPE] TV [GENRE] Comedy, Supernatural [EP] 11"
12711,Uta no☆Prince-sama♪ Maji Love 2000%,"Comedy, Harem, Music, Romance, School, Shoujo",TV,13,"Uta no☆Prince-sama♪ Maji Love 2000% [TYPE] TV [GENRE] Comedy, Harem, Music, Romance, School, Shoujo [EP] 13"
10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"Comedy, Seinen, Slice of Life",ONA,4,"Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials [TYPE] ONA [GENRE] Comedy, Seinen, Slice of Life [EP] 4"
26243,Owari no Seraph,"Action, Drama, Shounen, Supernatural, Vampire",TV,12,"Owari no Seraph [TYPE] TV [GENRE] Action, Drama, Shounen, Supernatural, Vampire [EP] 12"
66,Azumanga Daioh,"Comedy, School, Slice of Life",TV,26,"Azumanga Daioh [TYPE] TV [GENRE] Comedy, School, Slice of Life [EP] 26"
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,"One Punch Man [TYPE] TV [GENRE] Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural [EP] 12"
8086,Densetsu no Yuusha no Densetsu,"Action, Adventure, Fantasy, Magic, Shounen",TV,24,"Densetsu no Yuusha no Densetsu [TYPE] TV [GENRE] Action, Adventure, Fantasy, Magic, Shounen [EP] 24"
14513,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,"Magi: The Labyrinth of Magic [TYPE] TV [GENRE] Action, Adventure, Fantasy, Magic, Shounen [EP] 25"
15451,High School DxD New,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,"High School DxD New [TYPE] TV [GENRE] Action, Comedy, Demons, Ecchi, Harem, Romance, School [EP] 12"
596,Chobits: Chibits,"Comedy, Romance",Special,1,"Chobits: Chibits [TYPE] Special [GENRE] Comedy, Romance [EP] 1"
28025,Tsukimonogatari,"Comedy, Mystery, Supernatural",TV,4,"Tsukimonogatari [TYPE] TV [GENRE] Comedy, Mystery, Supernatural [EP] 4"
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,"Rainbow: Nisha Rokubou no Shichinin [TYPE] TV [GENRE] Drama, Historical, Seinen, Thriller [EP] 26"
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Comedy, Drama, Romance, School",TV,13,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. [TYPE] TV [GENRE] Comedy, Drama, Romance, School [EP] 13"
3092,Junjou Romantica,"Comedy, Drama, Romance, Shounen Ai",TV,12,"Junjou Romantica [TYPE] TV [GENRE] Comedy, Drama, Romance, Shounen Ai [EP] 12"
101,Air,"Drama, Romance, Slice of Life, Supernatural",TV,13,"Air [TYPE] TV [GENRE] Drama, Romance, Slice of Life, Supernatural [EP] 13"
31376,Flying Witch,"Comedy, Magic, Shounen, Slice of Life, Supernatural",TV,12,"Flying Witch [TYPE] TV [GENRE] Comedy, Magic, Shounen, Slice of Life, Supernatural [EP] 12"
550,Yu☆Gi☆Oh!,"Action, Comedy, Fantasy, Game, Shounen",TV,27,"Yu☆Gi☆Oh! [TYPE] TV [GENRE] Action, Comedy, Fantasy, Game, Shounen [EP] 27"
476,Ginban Kaleidoscope,"Drama, Romance, Sports",TV,12,"Ginban Kaleidoscope [TYPE] TV [GENRE] Drama, Romance, Sports [EP] 12"
16870,The Last: Naruto the Movie,"Action, Martial Arts, Romance, Shounen, Super Power",Movie,1,"The Last: Naruto the Movie [TYPE] Movie [GENRE] Action, Martial Arts, Romance, Shounen, Super Power [EP] 1"
11021,Muv-Luv Alternative: Total Eclipse,"Action, Mecha, Military, Sci-Fi",TV,24,"Muv-Luv Alternative: Total Eclipse [TYPE] TV [GENRE] Action, Mecha, Military, Sci-Fi [EP] 24"
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1,"Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen [TYPE] Movie [GENRE] Fantasy, Slice of Life, Supernatural [EP] 1"
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,"Code Geass: Hangyaku no Lelouch [TYPE] TV [GENRE] Action, Mecha, Military, School, Sci-Fi, Super Power [EP] 25"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,"Fate/Zero [TYPE] TV [GENRE] Action, Fantasy, Supernatural [EP] 13"
944,The Third: Aoi Hitomi no Shoujo,"Action, Adventure, Sci-Fi, Seinen",TV,24,"The Third: Aoi Hitomi no Shoujo [TYPE] TV [GENRE] Action, Adventure, Sci-Fi, Seinen [EP] 24"
22101,Soredemo Sekai wa Utsukushii,"Adventure, Fantasy, Romance, Shoujo",TV,12,"Soredemo Sekai wa Utsukushii [TYPE] TV [GENRE] Adventure, Fantasy, Romance, Shoujo [EP] 12"
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,"Boku no Hero Academia [TYPE] TV [GENRE] Action, Comedy, School, Shounen, Super Power [EP] 13"
355,Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24,"Shakugan no Shana [TYPE] TV [GENRE] Action, Drama, Fantasy, Romance, School, Supernatural [EP] 24"
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,"Durarara!! [TYPE] TV [GENRE] Action, Mystery, Supernatural [EP] 24"
13333,Tari Tari,"Music, School, Slice of Life",TV,13,"Tari Tari [TYPE] TV [GENRE] Music, School, Slice of Life [EP] 13"
13663,To LOVE-Ru Darkness,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,"To LOVE-Ru Darkness [TYPE] TV [GENRE] Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen [EP] 12"
17895,Golden Time,"Comedy, Romance, Seinen",TV,24,"Golden Time [TYPE] TV [GENRE] Comedy, Romance, Seinen [EP] 24"
22319,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,"Tokyo Ghoul [TYPE] TV [GENRE] Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural [EP] 12"
10110,Mayo Chiki!,"Comedy, Ecchi, Harem, Romance, School",TV,13,"Mayo Chiki! [TYPE] TV [GENRE] Comedy, Ecchi, Harem, Romance, School [EP] 13"
8525,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,"Kami nomi zo Shiru Sekai [TYPE] TV [GENRE] Comedy, Harem, Romance, Shounen, Supernatural [EP] 12"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,"Uchuu Senkan Yamato 2199 [TYPE] OVA [GENRE] Action, Drama, Military, Sci-Fi, Space [EP] 26"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,"Steins;Gate: Oukoubakko no Poriomania [TYPE] Special [GENRE] Sci-Fi, Thriller [EP] 1"
28861,Takamiya Nasuno Desu!: Teekyuu Spin-off,"Comedy, Shounen",TV,12,"Takamiya Nasuno Desu!: Teekyuu Spin-off [TYPE] TV [GENRE] Comedy, Shounen [EP] 12"
7590,Mayoi Neko Overrun!,"Comedy, Harem, Romance",TV,13,"Mayoi Neko Overrun! [TYPE] TV [GENRE] Comedy, Harem, Romance [EP] 13"
3958,Kannagi,"Comedy, School, Shounen, Supernatural",TV,13,"Kannagi [TYPE] TV [GENRE] Comedy, School, Shounen, Supernatural [EP] 13"
10049,Nurarihyon no Mago: Sennen Makyou,"Action, Demons, Shounen, Supernatural",TV,24,"Nurarihyon no Mago: Sennen Makyou [TYPE] TV [GENRE] Action, Demons, Shounen, Supernatural [EP] 24"
909,Geneshaft,"Adventure, Mecha, Sci-Fi, Space",TV,13,"Geneshaft [TYPE] TV [GENRE] Adventure, Mecha, Sci-Fi, Space [EP] 13"
12079,Black★Rock Shooter,"Action, Music",Music,1,"Black★Rock Shooter [TYPE] Music [GENRE] Action, Music [EP] 1"
22273,Selector Infected WIXOSS,"Game, Psychological",TV,12,"Selector Infected WIXOSS [TYPE] TV [GENRE] Game, Psychological [EP] 12"
71,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",TV,24,"Full Metal Panic! [TYPE] TV [GENRE] Action, Comedy, Mecha, Military, Sci-Fi [EP] 24"
17265,Log Horizon,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,"Log Horizon [TYPE] TV [GENRE] Action, Adventure, Fantasy, Game, Magic, Shounen [EP] 25"
22789,Barakamon,"Comedy, Slice of Life",TV,12,"Barakamon [TYPE] TV [GENRE] Comedy, Slice of Life [EP] 12"
2131,Bokusatsu Tenshi Dokuro-chan 2,"Comedy, Ecchi, Magic",OVA,2,"Bokusatsu Tenshi Dokuro-chan 2 [TYPE] OVA [GENRE] Comedy, Ecchi, Magic [EP] 2"
20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220,"Naruto [TYPE] TV [GENRE] Action, Comedy, Martial Arts, Shounen, Super Power [EP] 220"
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,"Kaichou wa Maid-sama! [TYPE] TV [GENRE] Comedy, Romance, School, Shoujo [EP] 26"
227,FLCL,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",OVA,6,"FLCL [TYPE] OVA [GENRE] Action, Comedy, Dementia, Mecha, Parody, Sci-Fi [EP] 6"
586,Ayakashi: Japanese Classic Horror,"Fantasy, Historical, Horror",TV,11,"Ayakashi: Japanese Classic Horror [TYPE] TV [GENRE] Fantasy, Historical, Horror [EP] 11"
10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,"Chihayafuru [TYPE] TV [GENRE] Drama, Game, Josei, Slice of Life, Sports [EP] 25"
174,Tenjou Tenge,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",TV,24,"Tenjou Tenge [TYPE] TV [GENRE] Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power [EP] 24"
3455,To LOVE-Ru,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi",TV,26,"To LOVE-Ru [TYPE] TV [GENRE] Comedy, Ecchi, Harem, Romance, School, Sci-Fi [EP] 26"
5597,Natsu no Arashi!,"Comedy, Romance, Supernatural",TV,13,"Natsu no Arashi! [TYPE] TV [GENRE] Comedy, Romance, Supernatural [EP] 13"
20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",TV,13,"Seitokai Yakuindomo* [TYPE] TV [GENRE] Comedy, School, Shounen, Slice of Life [EP] 13"
11553,Toradora!: Bentou no Gokui,"Comedy, Romance, School, Slice of Life",Special,1,"Toradora!: Bentou no Gokui [TYPE] Special [GENRE] Comedy, Romance, School, Slice of Life [EP] 1"
2889,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,"Action, Adventure, Shounen, Supernatural",Movie,1,"Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru [TYPE] Movie [GENRE] Action, Adventure, Shounen, Supernatural [EP] 1"
25183,Gangsta.,"Action, Drama, Seinen",TV,12,"Gangsta. [TYPE] TV [GENRE] Action, Drama, Seinen [EP] 12"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,"Bakuman. 2nd Season [TYPE] TV [GENRE] Comedy, Drama, Romance, Shounen [EP] 25"
407,Tantei Gakuen Q,"Comedy, Drama, Mystery, Police, Shounen",TV,45,"Tantei Gakuen Q [TYPE] TV [GENRE] Comedy, Drama, Mystery, Police, Shounen [EP] 45"
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,"Hajime no Ippo: New Challenger [TYPE] TV [GENRE] Comedy, Drama, Shounen, Sports [EP] 26"
15439,"Kono Danshi, Ningyo Hiroimashita.","Fantasy, Shounen Ai",OVA,1,"Kono Danshi, Ningyo Hiroimashita. [TYPE] OVA [GENRE] Fantasy, Shounen Ai [EP] 1"
416,Kurenai no Buta,"Action, Adventure, Comedy, Drama, Historical, Military, Romance",Movie,1,"Kurenai no Buta [TYPE] Movie [GENRE] Action, Adventure, Comedy, Drama, Historical, Military, Romance [EP] 1"
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,"Angel Beats! [TYPE] TV [GENRE] Action, Comedy, Drama, School, Supernatural [EP] 13"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari [TYPE] Movie [GENRE] Drama, Magic, Psychological, Thriller [EP] 1"
23281,Psycho-Pass 2,"Action, Police, Psychological, Sci-Fi",TV,11,"Psycho-Pass 2 [TYPE] TV [GENRE] Action, Police, Psychological, Sci-Fi [EP] 11"
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,"Berserk: Ougon Jidai-hen III - Kourin [TYPE] Movie [GENRE] Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural [EP] 1"
260,Happy☆Lesson (TV),"Comedy, Drama, Harem, Romance, Slice of Life",TV,13,"Happy☆Lesson (TV) [TYPE] TV [GENRE] Comedy, Drama, Harem, Romance, Slice of Life [EP] 13"
9181,Motto To LOVE-Ru,"Comedy, Ecchi, Harem, School, Sci-Fi, Shounen",TV,12,"Motto To LOVE-Ru [TYPE] TV [GENRE] Comedy, Ecchi, Harem, School, Sci-Fi, Shounen [EP] 12"
400,Seihou Bukyou Outlaw Star,"Action, Adventure, Comedy, Sci-Fi, Space",TV,24,"Seihou Bukyou Outlaw Star [TYPE] TV [GENRE] Action, Adventure, Comedy, Sci-Fi, Space [EP] 24"
3712,Zero no Tsukaima: Princesses no Rondo,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,12,"Zero no Tsukaima: Princesses no Rondo [TYPE] TV [GENRE] Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School [EP] 12"
30384,Miss Monochrome: The Animation 2,"Comedy, Music, Slice of Life",TV,13,"Miss Monochrome: The Animation 2 [TYPE] TV [GENRE] Comedy, Music, Slice of Life [EP] 13"
14227,Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo, Slice of Life",TV,13,"Tonari no Kaibutsu-kun [TYPE] TV [GENRE] Comedy, Romance, School, Shoujo, Slice of Life [EP] 13"
16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"Comedy, School, Shounen, Slice of Life",TV,12,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! [TYPE] TV [GENRE] Comedy, School, Shounen, Slice of Life [EP] 12"
